"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)9",0.865122655804379,0.3881,0.103744724286672,0.000330654012057341,1.00319737934286,0.407112813900459,0.867583076550117,10
"total_sleep_duration9",8.63416165500541e-08,1,0.103744724286672,0.000330654012057341,1.00319737934286,0.407112813900459,0.0149129738848686,10
"awake_time9",2.0756905592136e-06,1,0.103744724286672,0.000330654012057341,1.00319737934286,0.407112813900459,0.307084633320969,10
"restless_sleep9",-6.27179538139639e-05,0.6189,0.103744724286672,0.000330654012057341,1.00319737934286,0.407112813900459,-0.111453366000483,10
"(Intercept)10",0.869580109732422,0.3597,0.0960362501395118,-0.00826725945977524,0.920738434482824,0.444598460529915,0.876375516259704,11
"total_sleep_duration10",-1.27782854671147e-07,1,0.0960362501395118,-0.00826725945977524,0.920738434482824,0.444598460529915,-0.0323247027715157,11
"awake_time10",1.25353883660726e-06,1,0.0960362501395118,-0.00826725945977524,0.920738434482824,0.444598460529915,0.271613367882151,11
"restless_sleep10",-4.38519311762282e-05,0.6222,0.0960362501395118,-0.00826725945977524,0.920738434482824,0.444598460529915,-0.114132125264882,11
"(Intercept)11",0.863286155518332,0.5282,0.0628570723389861,-0.0452748039295925,0.581300117116819,0.632567333574143,0.865843380148219,12
"total_sleep_duration11",-1.96404770732405e-06,1,0.0628570723389861,-0.0452748039295925,0.581300117116819,0.632567333574143,-0.229220998257562,12
"awake_time11",9.23952775047663e-07,1,0.0628570723389861,-0.0452748039295925,0.581300117116819,0.632567333574143,0.0923641704076457,12
"restless_sleep11",0.000175591361302332,0.3674,0.0628570723389861,-0.0452748039295925,0.581300117116819,0.632567333574143,0.210844724461304,12
"(Intercept)12",0.898421118546617,0.328,0.0554656170578527,-0.0535191194354721,0.508930138682768,0.679597865914552,0.937822404067487,13
"total_sleep_duration12",-1.2834707776354e-06,1,0.0554656170578527,-0.0535191194354721,0.508930138682768,0.679597865914552,-0.199015380564213,13
"awake_time12",-5.53488146499998e-07,1,0.0554656170578527,-0.0535191194354721,0.508930138682768,0.679597865914552,-0.0735123614232644,13
"restless_sleep12",-3.85480089942908e-05,0.7841,0.0554656170578527,-0.0535191194354721,0.508930138682768,0.679597865914552,-0.061497836066991,13
"(Intercept)13",0.907559099737971,0.3161,0.0497339521407629,-0.0599121303045338,0.45358622060734,0.71697883878716,0.955340080387092,14
"total_sleep_duration13",-1.37729739599713e-06,1,0.0497339521407629,-0.0599121303045338,0.45358622060734,0.71697883878716,-0.106300962767067,14
"awake_time13",1.79235115015327e-06,1,0.0497339521407629,-0.0599121303045338,0.45358622060734,0.71697883878716,0.118490617643707,14
"restless_sleep13",-0.000115554905035684,0.6619,0.0497339521407629,-0.0599121303045338,0.45358622060734,0.71697883878716,-0.0917603545508724,14
"(Intercept)14",0.844713739944943,0.5756,0.100294303527536,-0.00351789221928667,0.966112919643216,0.423594588324841,0.828067881577203,15
"total_sleep_duration14",-5.89318961245785e-07,1,0.100294303527536,-0.00351789221928667,0.966112919643216,0.423594588324841,-0.0947684062199091,15
"awake_time14",1.92362951402902e-06,1,0.100294303527536,-0.00351789221928667,0.966112919643216,0.423594588324841,0.264963460308137,15
"restless_sleep14",0.000100863998309728,0.4701,0.100294303527536,-0.00351789221928667,0.966112919643216,0.423594588324841,0.166880875100389,15
"(Intercept)15",0.876517872215797,0.4342,0.0775713435250119,-0.0288627322221022,0.728820567853855,0.544094652202721,0.886093985279939,16
"total_sleep_duration15",-7.94196655863109e-07,1,0.0775713435250119,-0.0288627322221022,0.728820567853855,0.544094652202721,-0.183031445688535,16
"awake_time15",9.61602010807577e-07,1,0.0775713435250119,-0.0288627322221022,0.728820567853855,0.544094652202721,0.189821067605951,16
"restless_sleep15",1.90498446735476e-05,0.8618,0.0775713435250119,-0.0288627322221022,0.728820567853855,0.544094652202721,0.0451696079717981,16
"(Intercept)16",0.873560769350113,0.4891,0.067104292766742,-0.0405375196063262,0.623403594638206,0.606271010195551,0.882344170612373,17
"total_sleep_duration16",1.06151592352068e-07,1,0.067104292766742,-0.0405375196063262,0.623403594638206,0.606271010195551,0.0250850677811331,17
"awake_time16",1.00707502494387e-06,1,0.067104292766742,-0.0405375196063262,0.623403594638206,0.606271010195551,0.203845901585116,17
"restless_sleep16",-7.27396597567634e-05,0.428,0.067104292766742,-0.0405375196063262,0.623403594638206,0.606271010195551,-0.176854965251546,17
"(Intercept)17",0.789234871786663,0.8913,0.145184639754463,0.0465520981876705,1.47197504442432,0.24522720519793,0.718092073957583,18
"total_sleep_duration17",2.31196522483573e-06,1,0.145184639754463,0.0465520981876705,1.47197504442432,0.24522720519793,0.320738251273601,18
"awake_time17",1.36199063060232e-06,1,0.145184639754463,0.0465520981876705,1.47197504442432,0.24522720519793,0.161843392156738,18
"restless_sleep17",6.28179483143794e-05,0.7014,0.145184639754463,0.0465520981876705,1.47197504442432,0.24522720519793,0.0896624153642977,18
"(Intercept)18",0.877696240573311,0.6461,0.0136245739791273,-0.100187975177127,0.119710647728503,0.947691407851197,0.893855712093334,19
"total_sleep_duration18",-7.41847669035944e-07,1,0.0136245739791273,-0.100187975177127,0.119710647728503,0.947691407851197,-0.115846294430292,19
"awake_time18",5.4940065349999e-08,1,0.0136245739791273,-0.100187975177127,0.119710647728503,0.947691407851197,0.00734865695961021,19
"restless_sleep18",1.10362163548625e-06,0.9945,0.0136245739791273,-0.100187975177127,0.119710647728503,0.947691407851197,0.00177314741155496,19
"(Intercept)19",0.813392750528532,0.7984,0.0928706520136481,-0.0117981189078542,0.887281384848761,0.460689286652164,0.767126481416504,20
"total_sleep_duration19",2.68071280263397e-06,1,0.0928706520136481,-0.0117981189078542,0.887281384848761,0.460689286652164,0.267896722817591,20
"awake_time19",3.12596679869276e-06,1,0.0928706520136481,-0.0117981189078542,0.887281384848761,0.460689286652164,0.26757951751646,20
"restless_sleep19",-0.000128267475437919,0.5561,0.0928706520136481,-0.0117981189078542,0.887281384848761,0.460689286652164,-0.131883628060745,20
"(Intercept)20",0.874601949518538,0.7162,0.0176309005346465,-0.0957193801728944,0.15554351012272,0.925164240276135,0.885783713619318,21
"total_sleep_duration20",3.13875336325573e-07,1,0.0176309005346465,-0.0957193801728944,0.15554351012272,0.925164240276135,0.0550488379302459,21
"awake_time20",-2.30313295450564e-07,1,0.0176309005346465,-0.0957193801728944,0.15554351012272,0.925164240276135,-0.0345988263307526,21
"restless_sleep20",-8.06887840103349e-05,0.5487,0.0176309005346465,-0.0957193801728944,0.15554351012272,0.925164240276135,-0.145599995484495,21
"(Intercept)21",0.833396045762786,0.8856,0.0645363057698694,-0.0434018127951457,0.597900969813522,0.622102119771469,0.804275145693425,22
"total_sleep_duration21",9.61042421090057e-07,1,0.0645363057698694,-0.0434018127951457,0.597900969813522,0.622102119771469,0.161459786388763,22
"awake_time21",1.61059628309975e-06,1,0.0645363057698694,-0.0434018127951457,0.597900969813522,0.622102119771469,0.231771430244183,22
"restless_sleep21",2.80122806807297e-06,0.9838,0.0645363057698694,-0.0434018127951457,0.597900969813522,0.622102119771469,0.0048420303927187,22
"(Intercept)22",0.839722233828949,0.728,0.0633922665673151,-0.0446778565210717,0.586584568942045,0.629222475872352,0.817819698647512,23
"total_sleep_duration22",1.97531987873553e-06,1,0.0633922665673151,-0.0446778565210717,0.586584568942045,0.629222475872352,0.240787683370503,23
"awake_time22",1.89406477021595e-06,1,0.0633922665673151,-0.0446778565210717,0.586584568942045,0.629222475872352,0.197762094551038,23
"restless_sleep22",-0.00014332019212634,0.433,0.0633922665673151,-0.0446778565210717,0.586584568942045,0.629222475872352,-0.179746913696733,23
"(Intercept)23",0.855060957968535,0.1356,0.224895657171072,0.135460540690811,2.51462362908319,0.0804363906875444,0.847723309951932,24
"total_sleep_duration23",3.02317801611125e-06,1,0.224895657171072,0.135460540690811,2.51462362908319,0.0804363906875444,0.450192109410636,24
"awake_time23",1.93372619077469e-06,1,0.224895657171072,0.135460540690811,2.51462362908319,0.0804363906875444,0.246649665175067,24
"restless_sleep23",-0.000322442578860872,0.0254,0.224895657171072,0.135460540690811,2.51462362908319,0.0804363906875444,-0.494019134295261,24
"(Intercept)24",0.862109974310968,0.4573,0.071215829358164,-0.0359515749466632,0.66452882590678,0.581382943872499,0.86756355959042,25
"total_sleep_duration24",5.97293508157136e-07,1,0.071215829358164,-0.0359515749466632,0.66452882590678,0.581382943872499,0.0844458707481459,25
"awake_time24",1.9227824296364e-06,1,0.071215829358164,-0.0359515749466632,0.66452882590678,0.581382943872499,0.232847812037069,25
"restless_sleep24",-0.000127314104616265,0.4272,0.071215829358164,-0.0359515749466632,0.66452882590678,0.581382943872499,-0.185192916044484,25
"(Intercept)25",0.835252927251048,0.5931,0.125832838946887,0.0249673972869128,1.24753173015471,0.312808600201201,0.805499702452031,26
"total_sleep_duration25",-3.8282032945764e-07,1,0.125832838946887,0.0249673972869128,1.24753173015471,0.312808600201201,-0.0671328575539906,26
"awake_time25",1.69943443751701e-06,1,0.125832838946887,0.0249673972869128,1.24753173015471,0.312808600201201,0.255267748806951,26
"restless_sleep25",0.000145132854241298,0.2496,0.125832838946887,0.0249673972869128,1.24753173015471,0.312808600201201,0.26185634620658,26
"(Intercept)26",0.876305171148075,0.3709,0.085047850400395,-0.0205235514764825,0.805595539022792,0.502182227258074,0.893119004525986,27
"total_sleep_duration26",1.3804424924444e-06,1,0.085047850400395,-0.0205235514764825,0.805595539022792,0.502182227258074,0.193066060901695,27
"awake_time26",7.15152414576449e-07,1,0.085047850400395,-0.0205235514764825,0.805595539022792,0.502182227258074,0.085671746164795,27
"restless_sleep26",-0.000238304199321588,0.148,0.085047850400395,-0.0205235514764825,0.805595539022792,0.502182227258074,-0.342907148212739,27
"(Intercept)27",0.874316571088742,0.4952,0.0617383658063121,-0.0465225919852674,0.570273596924654,0.639586973381053,0.88265686940898,28
"total_sleep_duration27",-1.0634355366714e-06,1,0.0617383658063121,-0.0465225919852674,0.570273596924654,0.639586973381053,-0.146570774900993,28
"awake_time27",1.57137769586142e-06,1,0.0617383658063121,-0.0465225919852674,0.570273596924654,0.639586973381053,0.18551037027589,28
"restless_sleep27",4.07497409653065e-05,0.799,0.0617383658063121,-0.0465225919852674,0.570273596924654,0.639586973381053,0.0577854226009422,28
"(Intercept)28",0.88928255892997,0.0489,0.243404094204047,0.156104566612206,2.78814904179157,0.060558112430673,0.918916799884708,29
"total_sleep_duration28",1.934067235361e-06,1,0.243404094204047,0.156104566612206,2.78814904179157,0.060558112430673,0.260811676782515,29
"awake_time28",2.17624067143009e-06,1,0.243404094204047,0.156104566612206,2.78814904179157,0.060558112430673,0.251370193192579,29
"restless_sleep28",-0.000386178013993741,0.0134,0.243404094204047,0.156104566612206,2.78814904179157,0.060558112430673,-0.535796947104403,29
"(Intercept)29",0.87311126806302,1,0.0347734436490741,-0.0765988513144944,0.312227054856408,0.816353345490925,0.884013045216417,30
"total_sleep_duration29",8.51884897823602e-08,1,0.0347734436490741,-0.0765988513144944,0.312227054856408,0.816353345490925,0.018888150200167,30
"awake_time29",5.68356703465786e-07,1,0.0347734436490741,-0.0765988513144944,0.312227054856408,0.816353345490925,0.107939620783484,30
"restless_sleep29",-7.15602428495276e-05,0.5228,0.0347734436490741,-0.0765988513144944,0.312227054856408,0.816353345490925,-0.163244117567499,30
"(Intercept)30",0.902332456833147,0.1445,0.131650778804032,0.0314566378968044,1.31395686027121,0.291081144350795,0.944584496803773,31
"total_sleep_duration30",-2.90839909245266e-06,1,0.131650778804032,0.0314566378968044,1.31395686027121,0.291081144350795,-0.400283357324364,31
"awake_time30",4.38632679451523e-07,1,0.131650778804032,0.0314566378968044,1.31395686027121,0.291081144350795,0.051708972837747,31
"restless_sleep30",9.86605869743093e-05,0.5377,0.131650778804032,0.0314566378968044,1.31395686027121,0.291081144350795,0.139705805799789,31
"(Intercept)31",0.859757753881517,0.7629,0.0365494396919451,-0.0746179326512919,0.328778479886132,0.804553986588906,0.857116682053813,32
"total_sleep_duration31",2.70158840533741e-07,1,0.0365494396919451,-0.0746179326512919,0.328778479886132,0.804553986588906,0.050874766825405,32
"awake_time31",1.17787126674059e-06,1,0.0365494396919451,-0.0746179326512919,0.328778479886132,0.804553986588906,0.189990754958988,32
"restless_sleep31",-3.99071684780099e-05,0.737,0.0365494396919451,-0.0746179326512919,0.328778479886132,0.804553986588906,-0.0773199187368929,32
"(Intercept)32",0.896449426844249,0.2432,0.0886998995773181,-0.0164501120099145,0.843555775585745,0.482506546975001,0.925648849114697,33
"total_sleep_duration32",-1.02247247618644e-06,1,0.0886998995773181,-0.0164501120099145,0.843555775585745,0.482506546975001,-0.180135214761002,33
"awake_time32",9.45457606678956e-07,1,0.0886998995773181,-0.0164501120099145,0.843555775585745,0.482506546975001,0.142672558280189,33
"restless_sleep32",-4.8583525424326e-05,0.724,0.0886998995773181,-0.0164501120099145,0.843555775585745,0.482506546975001,-0.0880629536682517,33
"(Intercept)33",0.846179998266262,0.5981,0.0906603681020526,-0.0142634355784799,0.864059106912398,0.47216416529755,0.832848208664247,34
"total_sleep_duration33",1.83685473684659e-06,1,0.0906603681020526,-0.0142634355784799,0.864059106912398,0.47216416529755,0.342368081909881,34
"awake_time33",7.50161040964575e-07,1,0.0906603681020526,-0.0142634355784799,0.864059106912398,0.47216416529755,0.11976346587084,34
"restless_sleep33",-0.000145718934505263,0.2107,0.0906603681020526,-0.0142634355784799,0.864059106912398,0.47216416529755,-0.279441993363096,34
"(Intercept)34",0.887035051909122,0.2346,0.120204219856433,0.0186893221475594,1.18410423070274,0.33503570530052,0.914465837771679,35
"total_sleep_duration34",-2.02380649549463e-06,1,0.120204219856433,0.0186893221475594,1.18410423070274,0.33503570530052,-0.334931115732408,35
"awake_time34",9.16542812876752e-07,1,0.120204219856433,0.0186893221475594,1.18410423070274,0.33503570530052,0.129924382020622,35
"restless_sleep34",6.54791471983103e-05,0.6132,0.120204219856433,0.0186893221475594,1.18410423070274,0.33503570530052,0.11149278184972,35
"(Intercept)35",0.864657557658067,0.1651,0.192106450719768,0.0988879642643564,2.0608192433124,0.129962980790195,0.864335876770003,36
"total_sleep_duration35",-1.94093441227376e-06,1,0.192106450719768,0.0988879642643564,2.0608192433124,0.129962980790195,-0.427520151163185,36
"awake_time35",-5.30185102063215e-07,1,0.192106450719768,0.0988879642643564,2.0608192433124,0.129962980790195,-0.100028704218458,36
"restless_sleep35",0.000216159314490187,0.0336,0.192106450719768,0.0988879642643564,2.0608192433124,0.129962980790195,0.489865563758279,36
